display_name,external_urls,href,id,images,type,uri,followers,country,product,explicit_content,email,genres,name,popularity,album,artists,available_markets,disc_number,duration_ms,explicit,external_ids,is_local,preview_url,track_number,audio_features
,{'spotify': 'https://open.spotify.com/artist/5KKpBU5eC2tJDzf0wmlRp2'},https://api.spotify.com/v1/artists/5KKpBU5eC2tJDzf0wmlRp2,5KKpBU5eC2tJDzf0wmlRp2,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5e4949a1e3073b5a34b9d938', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745e4949a1e3073b5a34b9d938', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785e4949a1e3073b5a34b9d938', 'width': 160}]",top_artist,spotify:artist:5KKpBU5eC2tJDzf0wmlRp2,"{'href': None, 'total': 1481604}",,,,,"['uk contemporary r&b', 'uk pop']",RAYE,77.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/2oL0lsdUDgJOSDTcXCf8BL'},https://api.spotify.com/v1/artists/2oL0lsdUDgJOSDTcXCf8BL,2oL0lsdUDgJOSDTcXCf8BL,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebaa4ba7be7e87f4e7af570de1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174aa4ba7be7e87f4e7af570de1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178aa4ba7be7e87f4e7af570de1', 'width': 160}]",top_artist,spotify:artist:2oL0lsdUDgJOSDTcXCf8BL,"{'href': None, 'total': 19242}",,,,,['gospel r&b'],Stevie Rizo,38.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os'},https://api.spotify.com/v1/artists/3Y7RZ31TRPVadSFVy1o8os,3Y7RZ31TRPVadSFVy1o8os,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb417db49cde3ed1c5a65e3514', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174417db49cde3ed1c5a65e3514', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178417db49cde3ed1c5a65e3514', 'width': 160}]",top_artist,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,"{'href': None, 'total': 7594167}",,,,,"['r&b', 'rap']",H.E.R.,73.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746e835a500e791bf9c27a422a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786e835a500e791bf9c27a422a', 'width': 160}]",top_artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,"{'href': None, 'total': 25570676}",,,,,"['chicago rap', 'hip hop', 'rap']",Kanye West,90.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/6egyCFgiJ1j941PaxKoWJD'},https://api.spotify.com/v1/artists/6egyCFgiJ1j941PaxKoWJD,6egyCFgiJ1j941PaxKoWJD,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9617ab987bf55eca29e0e734', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749617ab987bf55eca29e0e734', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789617ab987bf55eca29e0e734', 'width': 160}]",top_artist,spotify:artist:6egyCFgiJ1j941PaxKoWJD,"{'href': None, 'total': 376684}",,,,,"['ccm', 'deep ccm', 'world worship', 'worship']",Housefires,55.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/16rCzZOMQX7P8Kmn5YKexI'},https://api.spotify.com/v1/artists/16rCzZOMQX7P8Kmn5YKexI,16rCzZOMQX7P8Kmn5YKexI,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebfee7db9b30ece7ac8b55f6d1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174fee7db9b30ece7ac8b55f6d1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178fee7db9b30ece7ac8b55f6d1', 'width': 160}]",top_artist,spotify:artist:16rCzZOMQX7P8Kmn5YKexI,"{'href': None, 'total': 973867}",,,,,"['alternative r&b', 'indie anthem-folk', 'uk contemporary r&b']",Mahalia,59.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/5Vuvs6Py2JRU7WiFDVsI7J'},https://api.spotify.com/v1/artists/5Vuvs6Py2JRU7WiFDVsI7J,5Vuvs6Py2JRU7WiFDVsI7J,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb59f6672fdf7466d330b815ab', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517459f6672fdf7466d330b815ab', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17859f6672fdf7466d330b815ab', 'width': 160}]",top_artist,spotify:artist:5Vuvs6Py2JRU7WiFDVsI7J,"{'href': None, 'total': 686746}",,,,,"['alternative r&b', 'r&b']",Lucky Daye,62.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/14EkDZQXCL0J9CpQ1tKIKC'},https://api.spotify.com/v1/artists/14EkDZQXCL0J9CpQ1tKIKC,14EkDZQXCL0J9CpQ1tKIKC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb034cf4c15b3f6122b09f2057', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174034cf4c15b3f6122b09f2057', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178034cf4c15b3f6122b09f2057', 'width': 160}]",top_artist,spotify:artist:14EkDZQXCL0J9CpQ1tKIKC,"{'href': None, 'total': 57016}",,,,,['christian lo-fi'],Lord's Child,46.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'},https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,3fMbdgg4jU18AjLCKBhRSm,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0e08ea2c4d6789fbf5cbe0aa', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740e08ea2c4d6789fbf5cbe0aa', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780e08ea2c4d6789fbf5cbe0aa', 'width': 160}]",top_artist,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,"{'href': None, 'total': 31104789}",,,,,"['r&b', 'soul']",Michael Jackson,81.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/47zz7sob9NUcODy0BTDvKx'},https://api.spotify.com/v1/artists/47zz7sob9NUcODy0BTDvKx,47zz7sob9NUcODy0BTDvKx,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb92883b0e094a36d2f43ad284', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517492883b0e094a36d2f43ad284', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17892883b0e094a36d2f43ad284', 'width': 160}]",top_artist,spotify:artist:47zz7sob9NUcODy0BTDvKx,"{'href': None, 'total': 3890881}",,,,,"['british soul', 'sophisti-pop']",Sade,73.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM'},https://api.spotify.com/v1/artists/1U1el3k54VvEUzo3ybLPlM,1U1el3k54VvEUzo3ybLPlM,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb51dfdac248da65a860963b68', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517451dfdac248da65a860963b68', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17851dfdac248da65a860963b68', 'width': 160}]",top_artist,spotify:artist:1U1el3k54VvEUzo3ybLPlM,"{'href': None, 'total': 7248594}",,,,,['colombian pop'],Kali Uchis,82.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5'},https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5,5cj0lLjcoR7YOSnhnX0Po5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe94f88ff74ae4ddcab961f97', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e94f88ff74ae4ddcab961f97', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e94f88ff74ae4ddcab961f97', 'width': 160}]",top_artist,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,"{'href': None, 'total': 30037292}",,,,,"['dance pop', 'pop']",Doja Cat,84.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/3zSrc5vUlUxyDdS0KrxFJO'},https://api.spotify.com/v1/artists/3zSrc5vUlUxyDdS0KrxFJO,3zSrc5vUlUxyDdS0KrxFJO,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb461baeace550c06fa38fbf66', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174461baeace550c06fa38fbf66', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178461baeace550c06fa38fbf66', 'width': 160}]",top_artist,spotify:artist:3zSrc5vUlUxyDdS0KrxFJO,"{'href': None, 'total': 331383}",,,,,[],Hulvey,63.0,,,,,,,,,,,
