danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.714,0.48,0,-12.996,0,0.037,0.318,0.803,0.121,0.527,96.059,audio_features,0yJIF1o3HggZCMgTSGWlEj,spotify:track:0yJIF1o3HggZCMgTSGWlEj,https://api.spotify.com/v1/tracks/0yJIF1o3HggZCMgTSGWlEj,https://api.spotify.com/v1/audio-analysis/0yJIF1o3HggZCMgTSGWlEj,237500,4
0.74,0.311,5,-9.421,0,0.0656,0.379,0.000417,0.198,0.327,140.037,audio_features,0Ani0foia32xeSDE2MdHWM,spotify:track:0Ani0foia32xeSDE2MdHWM,https://api.spotify.com/v1/tracks/0Ani0foia32xeSDE2MdHWM,https://api.spotify.com/v1/audio-analysis/0Ani0foia32xeSDE2MdHWM,171218,4
0.468,0.38,1,-6.326,1,0.0309,0.689,5.98e-05,0.114,0.406,129.897,audio_features,0lpo9c5J9uOZqMsXEei1gV,spotify:track:0lpo9c5J9uOZqMsXEei1gV,https://api.spotify.com/v1/tracks/0lpo9c5J9uOZqMsXEei1gV,https://api.spotify.com/v1/audio-analysis/0lpo9c5J9uOZqMsXEei1gV,258024,3
0.684,0.444,8,-7.395,1,0.0406,0.568,0.0297,0.112,0.149,149.925,audio_features,1EQjOZMvkOXWMK2gx6yTZd,spotify:track:1EQjOZMvkOXWMK2gx6yTZd,https://api.spotify.com/v1/tracks/1EQjOZMvkOXWMK2gx6yTZd,https://api.spotify.com/v1/audio-analysis/1EQjOZMvkOXWMK2gx6yTZd,438400,4
0.622,0.229,7,-12.052,0,0.0504,0.65,0.0786,0.125,0.206,113.477,audio_features,3ocGQh1erdD9zAfijHMQZu,spotify:track:3ocGQh1erdD9zAfijHMQZu,https://api.spotify.com/v1/tracks/3ocGQh1erdD9zAfijHMQZu,https://api.spotify.com/v1/audio-analysis/3ocGQh1erdD9zAfijHMQZu,293979,5
0.7,0.605,11,-12.388,1,0.0529,0.598,0.0507,0.109,0.159,116.031,audio_features,4tPtlrjm8RxUjym8UaH2Ap,spotify:track:4tPtlrjm8RxUjym8UaH2Ap,https://api.spotify.com/v1/tracks/4tPtlrjm8RxUjym8UaH2Ap,https://api.spotify.com/v1/audio-analysis/4tPtlrjm8RxUjym8UaH2Ap,206995,4
0.433,0.477,4,-8.028,0,0.0448,0.0583,1.85e-05,0.228,0.144,170.312,audio_features,7mrFGO24hccC48c2hQzyEC,spotify:track:7mrFGO24hccC48c2hQzyEC,https://api.spotify.com/v1/tracks/7mrFGO24hccC48c2hQzyEC,https://api.spotify.com/v1/audio-analysis/7mrFGO24hccC48c2hQzyEC,183991,4
0.492,0.613,10,-5.568,0,0.0508,0.19,0.00133,0.157,0.272,74.1,audio_features,1Qq1TDdMo7UjRP6nlSog2q,spotify:track:1Qq1TDdMo7UjRP6nlSog2q,https://api.spotify.com/v1/tracks/1Qq1TDdMo7UjRP6nlSog2q,https://api.spotify.com/v1/audio-analysis/1Qq1TDdMo7UjRP6nlSog2q,230937,3
0.74,0.439,9,-11.122,0,0.0739,0.323,0.157,0.0806,0.238,144.472,audio_features,7tckQC9mAYQ7gRwgLYYjMM,spotify:track:7tckQC9mAYQ7gRwgLYYjMM,https://api.spotify.com/v1/tracks/7tckQC9mAYQ7gRwgLYYjMM,https://api.spotify.com/v1/audio-analysis/7tckQC9mAYQ7gRwgLYYjMM,342961,4
0.633,0.535,7,-6.577,0,0.189,0.0878,1.34e-05,0.0999,0.718,170.013,audio_features,02DTkcgh0BpYrEYPO05Zex,spotify:track:02DTkcgh0BpYrEYPO05Zex,https://api.spotify.com/v1/tracks/02DTkcgh0BpYrEYPO05Zex,https://api.spotify.com/v1/audio-analysis/02DTkcgh0BpYrEYPO05Zex,192800,4
0.662,0.582,3,-7.365,0,0.123,0.471,0.293,0.0974,0.347,146.094,audio_features,0eBAg5wJBu2Acv6o72iY4c,spotify:track:0eBAg5wJBu2Acv6o72iY4c,https://api.spotify.com/v1/tracks/0eBAg5wJBu2Acv6o72iY4c,https://api.spotify.com/v1/audio-analysis/0eBAg5wJBu2Acv6o72iY4c,174234,4
0.338,0.399,0,-10.838,0,0.0409,0.184,0.615,0.113,0.0547,114.958,audio_features,2fODtoKGK87f7FdoZQPAd6,spotify:track:2fODtoKGK87f7FdoZQPAd6,https://api.spotify.com/v1/tracks/2fODtoKGK87f7FdoZQPAd6,https://api.spotify.com/v1/audio-analysis/2fODtoKGK87f7FdoZQPAd6,271203,4
